Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xD,15,M,A,0.0989,4.55,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
xA,9,F,A,0.094,4.26,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
xBD,2,F,A,,4.036666667,02/06/2022,17/09/2022,20/09/2022,1,,110,21/06/2022,F,07:25,64,,11/08/2022,A,10:03,157,,31/08/2022,D,13:41,220,,Flight,G
xBK,11,M,A,,5.383333333,02/06/2022,17/09/2022,20/09/2022,1,,110,19/06/2022,D,14:45,62,,03/08/2022,A,12:53,153,,01/09/2022,B,13:24,222,,Flight,G
xBI,8,M,A,,4.386666667,02/06/2022,17/09/2022,20/09/2022,1,,110,12/06/2022,C,09:20,54,,02/08/2022,F,09:50,150,,01/09/2022,A,08:38,221,,Flight,G
xAG,4,F,A,,4.303333333,25/03/2022,09/07/2022,13/07/2022,1,,110,09/04/2022,F,12:50,53,,24/05/2022,C,13:00,134,,28/06/2022,D,09:48,216,,Flight,F
xAK,2,F,A,,4.03,25/03/2022,09/07/2022,13/07/2022,1,,110,05/04/2022,F,11:55,46b,,31/05/2022,C,,139,,24/06/2022,E,11:23,215,,Flight,F
D1AD,6,M,B,0.2247,5.753333333,21/02/2022,08/06/2022,11/06/2022,1,,110,13/03/2022,B,09:48,12,,23/04/2022,F,11:47,102,,,,,,,Flight,A
D1AD,8,M,B,0.1785,5.33,21/02/2022,08/06/2022,11/06/2022,1,,110,07/03/2022,B,12:53,4,,24/04/2022,B,11:20,103,,,,,,,Flight,A
D1AB,4,F,A,0.0729,3.883333333,18/02/2022,04/06/2022,08/06/2022,0,,110,07/03/2022,B,08:30,3,,20/04/2022,B,10:30,101,,,,,,,Flight,A
xBH,11,F,B,,4.976666667,03/06/2022,17/09/2022,20/09/2022,1,,109,22/06/2022,D,12:11,68,,02/08/2022,C,14:32,151,,01/09/2022,D,08:38,221,,Flight,G
xAG,15,F,B,,5.476666667,27/03/2022,09/07/2022,13/07/2022,1,,108,09/04/2022,D,12:50,53,,27/05/2022,C,12:44,136,,28/06/2022,B,09:48,216,,Flight,F
xAH,15,F,B,,5.366666667,27/03/2022,09/07/2022,13/07/2022,1,,108,07/04/2022,G,09:43,50,,29/05/2022,E,10:44,138,,24/06/2022,C,11:23,215,,Flight,F
xP,14,M,A,0.1054,3.99,06/03/2022,19/06/2022,22/06/2022,1,,108,26/03/2022,B,13:36,34,,07/05/2022,E,08:37,119,,09/06/2022,B,11:29,210,,Flight,C
xJ,9,F,B,0.2778,5.42,06/03/2022,19/06/2022,22/06/2022,1,,108,25/03/2022,B,14:44,32,,06/05/2022,G,09:47,117,,11/06/2022,A,13:53,212,,Flight,C
xI,4,F,A,0.1084,4.466666667,06/03/2022,19/06/2022,22/06/2022,1,,108,25/03/2022,A,14:44,32,,11/05/2022,G,09:10,124,,08/06/2022,A,10:09,208,,Flight,C
