"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xAI","xAI12","F","B","Waiting",5.153333333,1,69,"B","Waiting","F","enhanced"
"xQ","xQ7","M","B","Waiting",4.563333333,1,69,"B","Waiting","D","enhanced"
"xP","xP8","F","B","Waiting",4.263333333,1,69,"B","Waiting","C","enhanced"
"xS","xS3","M","A","Waiting",4.116666667,1,69,"A","Waiting","D","impoverished"
"xQ","xQ15","M","A","Waiting",4.093333333,1,69,"A","Waiting","D","impoverished"
"xQ","xQ16","F","A","Waiting",3.563333333,1,69,"A","Waiting","D","impoverished"
"xAX","xAX9","M","A","Flight",4.193333333,1,68,"A","Flight","G","impoverished"
"xD","xD4","F","B","Flight",5.253333333,1,68,"B","Flight","B","enhanced"
"xAI","xAI8","M","A","Waiting",4.27,1,68,"A","Waiting","F","impoverished"
"xBF","xBF7","F","A","Waiting",4.106666667,1,68,"A","Waiting","G","impoverished"
"xBC","xBC2","F","A","Waiting",4.026666667,1,68,"A","Waiting","G","impoverished"
"xBA","xBA5","F","A","Waiting",3.85,1,68,"A","Waiting","G","impoverished"
"xAK","xAK5","M","A","Waiting",3.82,1,68,"A","Waiting","F","impoverished"
"xBE","xBE8","F","B","Flight",5.066666667,1,67,"B","Flight","G","enhanced"
"xAJ","xAJ3","F","A","Flight",3.793333333,1,67,"A","Flight","F","impoverished"
"xAH","xAH3","F","A","Flight",4.013333333,1,67,"A","Flight","F","impoverished"
"xAF","xAF2","M","A","Flight",4.013333333,1,67,"A","Flight","E","impoverished"
"xAD","xAD10","F","B","Flight",5.416666667,1,67,"B","Flight","E","enhanced"
"xI","xI10","F","B","Flight",5.503333333,1,67,"B","Flight","C","enhanced"
"xO","xO6","M","B","Flight",4.75,1,67,"B","Flight","C","enhanced"
"xBG","xBG13","M","B","Waiting",5.463333333,1,67,"B","Waiting","G","enhanced"
"xBB","xBB10","M","B","Waiting",5.153333333,1,67,"B","Waiting","G","enhanced"
